,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1998-10-02,17.552082061767578,18.645832061767578,16.833332061767578,18.375,18.375,34495800,AMZN,276.94812,256.0199890136719,258.5731201171875,0.0
1998-10-07,17.104167938232422,17.458332061767578,15.208333015441895,15.572916984558105,15.572916984558105,42834000,AMZN,45.747814,40.220001220703125,30.17489719390869,0.0
1998-10-13,15.302083015441895,15.895833015441895,15.104166984558105,15.229166984558105,15.229166984558105,10685400,AMZN,87.89832,75.94999694824219,72.66915607452393,0.0
1998-10-22,17.9375,19.645832061767578,17.895832061767578,19.114582061767578,19.114582061767578,26695200,AMZN,307.79886,306.75,288.68427658081055,0.0
1998-10-23,19.083332061767578,19.71875,19.020832061767578,19.354167938232422,19.354167938232422,13624800,AMZN,55.09257,49.220001220703125,35.7384033203125,0.0
1998-10-28,19.489582061767578,19.916667938232422,19.041667938232422,19.510417938232422,19.510417938232422,19891800,AMZN,48.975624,42.7400016784668,29.465206146240234,0.0
1998-10-30,21.104167938232422,21.635417938232422,20.770832061767578,21.072917938232422,21.072917938232422,21182400,AMZN,34.40553,30.790000915527344,13.332611083984375,0.0
1998-11-02,21.354167938232422,21.90625,20.75,21.833332061767578,21.833332061767578,31494000,AMZN,27.804462,16.875,0.0,-5.97113037109375
1998-11-04,21.895832061767578,22.0,21.104167938232422,21.635417938232422,21.635417938232422,20383200,AMZN,41.318314,38.70000076293945,19.68289566040039,0.0
1998-11-12,20.916667938232422,22.145832061767578,20.833332061767578,21.833332061767578,21.833332061767578,11974800,AMZN,24.71515,31.416667938232422,2.8818187713623047,0.0
1998-11-13,21.989582061767578,22.25,20.953125,21.291667938232422,21.291667938232422,8940600,AMZN,1738.6162,1699.800048828125,1717.3245429992676,0.0
1998-11-18,25.270832061767578,28.4375,25.25,27.333332061767578,27.333332061767578,59133600,AMZN,57.26705,54.650001525878906,29.933719635009766,0.0
1998-11-24,37.33333206176758,38.85416793823242,34.16666793823242,35.75,35.75,81675600,AMZN,179.11984,182.61000061035156,143.36984252929688,0.0
1998-11-25,36.08333206176758,37.25,34.16666793823242,35.05208206176758,35.05208206176758,27522600,AMZN,240.59047,238.0299987792969,205.53838729858398,0.0
1998-11-27,36.20833206176758,36.33333206176758,35.5,36.10416793823242,36.10416793823242,9586800,AMZN,494.29532,580.2100219726562,458.1911506652832,0.0
1998-12-04,32.58333206176758,32.83333206176758,30.416667938232422,31.416667938232422,31.416667938232422,22257600,AMZN,1821.6749,1919.6500244140623,1790.25825881958,0.0
1998-12-14,36.85416793823242,38.33333206176758,36.33333206176758,37.04166793823242,37.04166793823242,38751000,AMZN,230.8098,219.5,193.76813125610352,0.0
1998-12-16,43.1875,50.29166793823242,43.16666793823242,48.16666793823242,48.16666793823242,101797200,AMZN,981.1089,950.8699951171875,932.9422187805176,0.0
1998-12-21,50.58333206176758,53.625,50.0,53.125,53.125,33384000,AMZN,77.55755,78.20999908447266,24.43254852294922,0.0
1999-01-15,70.0,75.03125,68.8125,70.1875,70.1875,20132600,AMZN,3041.5027,3196.840087890625,2971.315185546875,0.0
1999-01-29,60.8125,60.8125,57.5,58.46875,58.46875,16396000,AMZN,38.36198,33.72999954223633,0.0,20.106769561767578
1999-02-01,58.875,61.15625,57.5,57.9375,57.9375,12781000,AMZN,1880.8492,1816.3199462890625,1822.9117431640625,0.0
1999-02-02,58.1875,58.21875,54.25,55.125,55.125,13048600,AMZN,73.713875,68.88999938964844,18.58887481689453,0.0
1999-02-03,54.5,63.0,54.25,62.875,62.875,18791000,AMZN,40.140503,36.34000015258789,0.0,22.7344970703125
1999-02-09,53.96875,54.0,49.96875,50.0,50.0,12826000,AMZN,18.6117,14.010000228881838,0.0,31.3882999420166
1999-02-16,53.4375,54.25,48.5,49.3125,49.3125,7779800,AMZN,123.84489,126.5999984741211,74.53238677978516,0.0
1999-02-23,55.0625,58.5,54.75,57.59375,57.59375,21139200,AMZN,329.8703,302.8599853515625,272.27655029296875,0.0
1999-03-05,61.96875,62.25,59.1875,60.75,60.75,12176200,AMZN,183.14893,181.72000122070312,122.39892578125,0.0
1999-03-16,69.5,70.1875,66.375,66.90625,66.90625,7534400,AMZN,49.89679,41.900001525878906,0.0,17.00946044921875
1999-03-19,70.9375,71.53125,67.5,67.53125,67.53125,10725200,AMZN,43.290913,37.400001525878906,0.0,24.240337371826172
1999-03-26,70.0,73.875,68.6875,69.53125,69.53125,24922000,AMZN,63.795105,51.8125,0.0,5.73614501953125
1999-04-08,87.40625,92.0625,83.0,89.5,89.5,11487800,AMZN,278.1039,307.54998779296875,188.60391235351562,0.0
1999-04-28,100.0,101.0,91.1875,96.75,96.75,19473800,AMZN,30.73239,42.9375,0.0,66.01761054992676
1999-05-13,72.1875,73.9375,68.0,68.0,68.0,11499000,AMZN,393.48608,367.3500061035156,325.486083984375,0.0
1999-05-20,68.375,69.0,65.25,65.40625,65.40625,6894000,AMZN,188.92946,172.11000061035156,123.52320861816406,0.0
1999-05-27,59.8125,60.28125,57.0,57.28125,57.28125,13573400,AMZN,7.9517136,5.1354169845581055,0.0,49.32953643798828
1999-05-28,57.8125,60.1875,56.0,59.375,59.375,9680200,AMZN,127.21728,131.58999633789062,67.84227752685547,0.0
1999-06-02,52.375,57.5,48.5625,56.0625,56.0625,36906400,AMZN,23.48511,21.270832061767578,0.0,32.57739067077637
1999-06-03,56.96875,57.25,52.25,52.53125,52.53125,17311600,AMZN,726.2523,744.4299926757812,673.7210693359375,0.0
1999-06-04,52.8125,55.0,50.8125,54.21875,54.21875,19491800,AMZN,1852.1552,1831.3499755859375,1797.9364013671875,0.0
1999-06-07,54.28125,59.9375,54.0,58.6875,58.6875,16901400,AMZN,25.160215,26.899999618530273,0.0,33.52728462219238
1999-06-09,56.96875,57.25,54.875,57.0,57.0,8904200,AMZN,43.42402,48.54999923706055,0.0,13.575981140136719
1999-06-11,57.5625,58.5,52.375,52.90625,52.90625,13886600,AMZN,305.00104,326.0,252.09478759765625,0.0
1999-06-22,61.59375,64.75,58.25,58.75,58.75,16729400,AMZN,170.74934,180.1300048828125,111.99934387207031,0.0
1999-06-25,58.21875,58.75,54.0625,55.09375,55.09375,9751800,AMZN,1044.5844,956.9199829101564,989.4906005859375,0.0
1999-07-02,61.625,63.0,60.375,62.03125,62.03125,7208400,AMZN,94.86931,80.7699966430664,32.83805847167969,0.0
1999-07-08,62.8125,63.75,60.65625,62.6875,62.6875,10624400,AMZN,1777.8105,1760.93994140625,1715.123046875,0.0
1999-07-12,62.5,62.75,58.0,58.6875,58.6875,10653200,AMZN,68.77369,69.4375,10.086189270019531,0.0
1999-07-15,67.5,70.75,66.6875,69.78125,69.78125,22763000,AMZN,130.29153,125.83000183105469,60.510284423828125,0.0
1999-07-20,64.5625,64.6875,60.03125,60.0625,60.0625,17221800,AMZN,1989.8081,2410.219970703125,1929.74560546875,0.0
1999-07-22,58.21875,58.5625,52.375,53.40625,53.40625,57547200,AMZN,219.79416,229.32000732421875,166.38790893554688,0.0
1999-07-28,50.9921875,53.0625,49.8125,52.875,52.875,25783600,AMZN,1814.711,1821.5,1761.8360595703125,0.0
1999-08-06,48.3125,49.75,44.625,44.78125,44.78125,21218800,AMZN,1773.5253,1813.030029296875,1728.7440185546875,0.0
1999-08-09,45.75,45.75,42.28125,42.75,42.75,13041400,AMZN,318.92035,305.4599914550781,276.17034912109375,0.0
1999-08-25,61.40625,66.5,60.75,66.4375,66.4375,20941400,AMZN,83.94087,54.5625,0.0,-17.503372192382812
1999-08-26,66.5,67.78125,63.75,64.28125,64.28125,19244200,AMZN,660.21735,669.8300170898438,595.9360961914062,0.0
1999-08-30,63.78125,65.0,58.9375,59.625,59.625,18494400,AMZN,46.88294,44.4900016784668,0.0,12.742061614990234
1999-09-02,57.5,61.9375,57.375,60.0625,60.0625,16838700,AMZN,55.20019,54.130001068115234,0.0,4.862308502197266
1999-09-03,63.625,64.0,60.625,62.4375,62.4375,16435900,AMZN,57.505966,44.7599983215332,0.0,4.9315338134765625
1999-09-08,62.0,63.25,60.9375,61.4375,61.4375,6976000,AMZN,70.95357,65.625,9.516067504882812,0.0
1999-09-13,65.625,66.0,62.5,63.3125,63.3125,7747600,AMZN,7.963917,4.2916669845581055,0.0,55.34858322143555
1999-09-23,67.0,68.75,61.234375,62.25,62.25,14373600,AMZN,58.73175,49.630001068115234,0.0,3.51824951171875
1999-09-28,62.5,66.5,61.125,65.875,65.875,15768800,AMZN,1008.897,1002.2299804687501,943.02197265625,0.0
1999-10-04,79.4375,79.75,75.75,77.0625,77.0625,9757400,AMZN,39.74444,35.380001068115234,0.0,37.31806182861328
1999-10-07,85.625,90.0,83.5,87.3125,87.3125,24609400,AMZN,1779.2186,1751.5999755859375,1691.9061279296875,0.0
1999-10-20,78.3125,80.625,76.34375,80.5,80.5,7735500,AMZN,270.5134,267.1700134277344,190.01339721679688,0.0
1999-10-26,83.125,84.3125,80.125,81.25,81.25,7711500,AMZN,271.59778,259.8699951171875,190.3477783203125,0.0
1999-10-28,69.5,73.125,65.875,71.0,71.0,35726400,AMZN,65.0554,65.0,0.0,5.944602966308594
1999-11-03,68.1875,68.5,65.0,65.8125,65.8125,10772100,AMZN,43.17963,21.9375,0.0,22.632869720458984
1999-11-08,64.8125,80.0,63.5,78.0,78.0,32339400,AMZN,1848.7211,2153.10009765625,1770.7210693359375,0.0
1999-11-09,82.0,83.0625,70.0,70.8125,70.8125,26477100,AMZN,58.728306,55.09375,0.0,12.08419418334961
1999-12-03,92.5,93.375,86.0625,86.5625,86.5625,11151200,AMZN,57.579296,74.0,0.0,28.983203887939453
